"Date","Desktop","Mobile","Tablet"
2009-01,99.33,0.67,0
2009-02,99.31,0.69,0
2009-03,99.2,0.8,0
2009-04,99.14,0.86,0
2009-05,99.14,0.86,0
2009-06,99.06,0.94,0
2009-07,98.95,1.05,0
2009-08,98.88,1.12,0
2009-09,98.88,1.12,0
2009-10,98.85,1.15,0
2009-11,98.79,1.21,0
2009-12,98.72,1.28,0
2010-01,98.44,1.56,0
2010-02,98.28,1.72,0
2010-03,98.04,1.96,0
2010-04,97.82,2.18,0
2010-05,97.68,2.32,0
2010-06,97.43,2.57,0
2010-07,97.14,2.86,0
2010-08,96.79,3.21,0
2010-09,96.5,3.5,0
2010-10,96.19,3.81,0
2010-11,95.98,4.02,0
2010-12,95.9,4.1,0
2011-01,95.7,4.3,0
2011-02,95.55,4.45,0
2011-03,95.3,4.7,0
2011-04,94.79,5.21,0
2011-05,94.25,5.75,0
2011-06,93.47,6.53,0
2011-07,92.98,7.02,0
2011-08,92.88,7.12,0
2011-09,93.26,6.74,0
2011-10,93.45,6.55,0
2011-11,93.05,6.95,0
2011-12,91.96,8.04,0
2012-01,91.51,8.49,0
2012-02,91.47,8.53,0
2012-03,91.01,8.99,0
2012-04,90.42,9.58,0
2012-05,89.89,10.11,0
2012-06,89.6,10.4,0
2012-07,88.91,11.09,0
2012-08,85.69,11.44,2.86
2012-09,85.33,11.66,3.01
2012-10,85.02,11.92,3.06
2012-11,84.13,12.66,3.22
2012-12,82.42,14.04,3.54
2013-01,82.41,13.56,4.03
2013-02,81.86,13.71,4.43
2013-03,81.69,13.79,4.52
2013-04,82.43,13.31,4.27
2013-05,81.68,13.98,4.33
2013-06,80.01,15.33,4.66
2013-07,78.66,16.51,4.83
2013-08,78.08,17.14,4.78
2013-09,78.39,16.98,4.63
2013-10,76.68,18.78,4.54
2013-11,76.13,19.08,4.78
2013-12,72.55,22.18,5.27
2014-01,71.95,22.39,5.66
2014-02,70.99,23.25,5.76
2014-03,70.23,23.93,5.84
2014-04,70.61,23.56,5.83
2014-05,68.55,25.41,6.04
