What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ? ,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?, Does ChatGPT help improve critical thinking and problem-solving?,"Has ChatGPT provided useful guidance on your career path or educational choices ?",How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,No,Yes
Daffodil International University ,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Maybe
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Sometimes,Yes
DIU,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,No
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Daffodil International University ,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometime,Not Sure,Not Sure,No,Not worried,Neutral,Sometimes,Maybe
DIU ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
DIU ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
IUBAT - International University of Business Agriculture and Technology,Undergraduate,Monthly,It has slightly improved teaching methods,No,Sometime,Yes,No,No,Somewhat worried,Neutral,Yes,Maybe
